name,count
oh,12207
like,6518
well,6036
get,5752
homer,5383
know,5261
one,5145
hey,4593
right,4393
got,4233
go,4148
bart,4127
good,3564
let,3532
uh,3434
man,3385
yeah,3362
see,3268
marge,3243
want,3231
come,3120
think,2972
look,2832
dad,2809
back,2748
little,2745
time,2694
lisa,2674
okay,2670
gonna,2643
could,2598
us,2563
never,2555
take,2496
say,2336
simpson,2276
would,2242
going,2234
yes,2224
make,2218
really,2100
love,2033
hmm,1992
way,1890
gasps,1834
something,1815
people,1796
boy,1751
need,1744
give,1725
mr,1714
sorry,1676
tell,1662
kids,1655
two,1652
thing,1628
day,1608
mom,1584
new,1560
sure,1552
please,1525
god,1523
wait,1486
groans,1459
great,1421
ever,1412
old,1395
laughing,1383
huh,1374
first,1367
better,1347
life,1319
ooh,1293
stop,1288
even,1272
maybe,1265
help,1264
show,1221
thank,1219
school,1212
home,1197
made,1192
sir,1190
grunts,1174
much,1153
springfield,1148
mean,1139
said,1138
son,1137
big,1136
money,1122
grunting,1116
still,1113
work,1111
put,1093
ah,1081
always,1081
chuckles,1066
guy,1050
thought,1046
